Section,Existing Provision,Problem or Issue in Existing Provision,New Provision Suggestion,How Practically it will be Helpful
Explanation 5 to Section 9(1)(i) & Section 47(vicc),Shares of a foreign company deriving substantial value from shares of an Indian company are deemed situated in India.,"Inconsistency between Explanation 5 and Section 47(vicc), causing exemption gaps for shares deriving value from Indian assets.",Amend Section 47(vicc) to cover all shares deriving value from Indian assets. Align with Explanation 5.,"Avoids exemption gaps, ensuring consistency and fairness in demerger taxation."
Section 9 - Significant Economic Presence (SEP),"SEP applies broadly to all businesses, including traditional commerce. Attribution rules are unnotified.",SEP intended for digital businesses but impacts traditional commerce. Attribution rules are missing.,Restrict SEP to digital commerce and defer tax obligations until attribution rules are notified.,Reduces compliance burden for non-digital businesses and provides clarity for tax attribution.
Section 47 - Amalgamation Provisions,Tax exemption only for mergers where the amalgamated company is Indian.,"Outbound mergers are excluded, creating tax liability and compliance burdens.",Extend tax exemptions to outbound mergers and relax FEMA compliance requirements.,Encourages cross-border mergers and aligns tax provisions with FEMA and Companies Act.
Section 92C & Rule 10CA - ALP Range,Arm's length range is 35th–65th percentile.,"India's narrower range misaligns with global practices, increasing compliance costs.",Adopt the global 25th–75th percentile range.,"Reduces disputes and aligns Indian practices with global norms, simplifying compliance."
Section 92CE - Secondary Adjustment Threshold,"Threshold for secondary adjustment is ₹1 crore, with no provision for reversing advances.",Deemed advances create tax burdens without mechanisms for reversal when relationships cease.,Increase threshold to ₹2 crore and provide mechanisms for advance reversal.,Eliminates unnecessary tax burdens and facilitates business closures or changes.
Section 94A & Section 206AA - Withholding Tax in NJA,"Withholding tax @30% applies in NJA, conflicting with Section 206AA (@20% for no PAN).",Ambiguity over which provision (Section 94A or 206AA) prevails.,Clarify that Section 94A overrides Section 206AA.,Reduces litigation and provides clarity on applicable withholding tax rates.
Section 94B - Interest Limitation,"Interest limitation applies to all interest, including AE-backed third-party loans.","AE-backed loans attract disallowance, impacting infrastructure financing.",Exclude third-party loans and AE-backed guarantees from disallowance.,Encourages infrastructure investments by lowering financing costs.
Section 97 & Rule 10U - GAAR Threshold,GAAR applies to arrangements with a tax benefit exceeding ₹3 crore.,Low threshold of ₹3 crore; ambiguity in defining 'tax benefit' for GAAR.,Raise the threshold to ₹10 crore and define 'tax benefit' based on actual tax impact.,Focuses anti-avoidance efforts on high-value cases and reduces compliance ambiguity.
Section 194LC - TDS on Interest Income,Excess interest beyond approved rates may be taxed at 20%.,Ambiguity may lead to higher TDS on excess interest.,Reword Section 194LC to avoid ambiguity on excess interest taxation.,Avoids unnecessary litigation and ensures clarity for taxpayers and companies.
Section 195 - TDS on Non-Resident Payments,No time limit for AO decisions; penalties apply to non-taxable transactions.,Undue delays and high penalties for non-taxable transactions.,Introduce a 30-day timeline for AO decisions and reduce penalties for non-taxable cases.,"Streamlines processes, reducing delays and unnecessary penalties."
Section 197 & Section 195 - TAN Requirement for Property Sales,TAN is mandatory for one-time property transactions by resident buyers.,Cumbersome registration and compliance process for resident buyers.,Allow CA-certified reports for lower TDS and exempt one-time property buyers from TAN requirements.,Simplifies compliance for resident buyers and avoids delays in property transactions.
TCS on International Credit Card Payments,No mechanism to track foreign currency credit card transactions.,Credit card payments are not systematically tracked for taxation.,Introduce TCS provisions for credit card payments to capture transactions.,"Tracks foreign payments systematically, improving tax collection."
Section 204 - Definition of Person Responsible for Paying,Definition of 'person responsible for paying' includes irrelevant references to Section 285.,Section 204 references irrelevant sections and lacks clarity on collection responsibility.,Remove references to Section 285 and define 'person responsible for collecting.',Improves clarity and ensures accurate responsibility assignments.
Section 94B - Clarification on Excess Interest,Interest paid to third parties under AE guarantees triggers disallowance.,Third-party interest is incorrectly included for disallowance.,Clarify that only AE interest is subject to disallowance; exempt Indian banks.,Encourages investments by reducing unnecessary disallowances.
Section 92CE - Modification of Income Definition,Interest income from secondary adjustments is not explicitly included in Section 2(24).,No explicit inclusion of interest income from secondary adjustments as taxable.,Include interest income from secondary adjustments under Section 2(24).,"Ensures clarity in taxable income, reducing litigation risks."
